importer_name,supplier_name,supplier_country,product_description,hsn_code,shipment_count,last_shipment_date
Lawrence-Stafford,Sims-Mitchell,Pakistan,Mobile Covers,3926,15,2023-06-17
Camacho Ltd,Holmes Inc,Vietnam,Cotton T-Shirts,6109,81,2025-05-04
"Turner, Jimenez and Walsh","Eaton, Holloway and Sparks",USA,Woven Garments,6204,67,2024-01-21
Williams-Delgado,"Bates, Ballard and Evans",India,LED Bulbs,8539,73,2023-12-31
Joseph Group,Walton Group,Bangladesh,Processed Foods,2106,44,2024-07-30
Clark-Graham,"Kaufman, Daugherty and Phillips",China,Rubber Soles,4016,89,2024-04-16
Jones-Mitchell,Shelton-Bennett,USA,Mobile Covers,3926,1,2025-05-25
Gomez-Peterson,"Floyd, Thomas and Armstrong",USA,Leather Bags,4202,84,2023-12-11
Carpenter Group,Nichols LLC,Vietnam,Plastic Toys,9503,7,2024-06-22
"Woods, Fowler and Stewart",Patel-Williams,India,Textile Machinery,8445,37,2023-02-21
Rivera-Robinson,"Frazier, Lee and Casey",Germany,Woven Garments,6204,27,2023-04-09
Gardner Group,Harper Inc,India,Organic Spices,910,48,2024-01-31
"Butler, Gray and Patel","Hale, Taylor and Preston",Pakistan,Woven Garments,6204,57,2024-10-09
Jensen-Gonzalez,"Howard, Baker and Hess",Pakistan,Steel Pipes,7306,44,2025-06-04
Williams Inc,Martin PLC,Vietnam,Mobile Covers,3926,34,2025-05-17
"Reese, Fuller and Jones",Moore Ltd,India,Rubber Soles,4016,57,2025-03-16
"Cain, Allen and Cooper","Martinez, Kennedy and Roy",India,LED Bulbs,8539,58,2023-02-15
Bowers Group,"Esparza, Norton and Benitez",Bangladesh,Leather Bags,4202,43,2023-11-04
Taylor Ltd,"Wilson, Bailey and Henry",Vietnam,Mobile Covers,3926,13,2024-04-18
White-Gilbert,Bryant-Harris,India,Organic Spices,910,18,2023-11-05
"Berry, Schaefer and Warner",Campbell-Frederick,Pakistan,Processed Foods,2106,54,2025-03-25
Evans and Sons,"Silva, Gilbert and Rose",Vietnam,Processed Foods,2106,65,2024-06-27
Durham LLC,"Holmes, Morrow and Rose",Vietnam,Organic Spices,910,59,2023-12-29
"Chambers, Frank and Hernandez",Ryan LLC,Germany,Automotive Parts,8708,48,2025-01-04
"Hansen, Lee and Hinton",Nash-Sherman,Pakistan,Plastic Toys,9503,26,2024-09-22
Peters Ltd,Hawkins-Holt,India,LED Bulbs,8539,74,2024-08-17
"Campbell, Mitchell and Curry",Roberson Inc,Bangladesh,Leather Bags,4202,2,2024-06-02
Booth Ltd,Nicholson Group,USA,Leather Bags,4202,45,2024-09-17
"Morris, Walker and Bennett",Esparza Ltd,Germany,Cotton T-Shirts,6109,14,2024-11-20
Moore-Church,"Gray, Reynolds and Allen",Germany,Textile Machinery,8445,61,2023-08-09
"Mcdonald, Barnes and Murray",Brown-Harris,Pakistan,Cotton T-Shirts,6109,74,2024-09-08
Delgado-Johnson,Lyons Inc,USA,Leather Bags,4202,58,2023-01-26
"Phillips, Padilla and Huff","Gibson, Ingram and Solis",Bangladesh,Plastic Toys,9503,40,2025-06-04
Smith Group,Scott-Curtis,Pakistan,Processed Foods,2106,89,2024-06-02
Anderson Inc,"Carter, Hudson and Lopez",Vietnam,Leather Bags,4202,2,2023-12-19
Burton Group,Baker and Sons,USA,Mobile Covers,3926,19,2024-04-08
Harrington-Butler,Wallace Inc,China,Processed Foods,2106,91,2025-06-07
Richardson-Garcia,"Miller, Sims and Mclaughlin",Germany,Mobile Covers,3926,5,2023-12-23
"Freeman, Watson and Scott","Anderson, Willis and Leon",Bangladesh,Textile Machinery,8445,4,2024-12-25
"Harris, Lopez and Johnson","Rice, Campbell and Martinez",Germany,Steel Pipes,7306,10,2023-12-02
Wilkerson-Harrell,Kaiser Inc,Germany,Textile Machinery,8445,73,2024-04-28
Deleon PLC,Hall Inc,Pakistan,Automotive Parts,8708,36,2024-02-18
"White, Burgess and Jenkins",Clark-Beck,Germany,Plastic Toys,9503,8,2024-02-04
Orr Ltd,Holder and Sons,Bangladesh,Organic Spices,910,88,2024-04-25
Wong-Cook,Ward-Ruiz,China,Mobile Covers,3926,79,2024-04-07
Williams-Sanchez,Bridges-Anthony,Germany,Textile Machinery,8445,27,2024-06-28
Hickman LLC,Dawson-Patrick,Bangladesh,Rubber Soles,4016,98,2024-10-31
"Leonard, Hill and Ewing",Craig Inc,Pakistan,Textile Machinery,8445,37,2023-11-09
Brown-Wilcox,"Reilly, Benton and Riley",Vietnam,Woven Garments,6204,81,2024-11-19
Bailey Inc,"Hernandez, Davis and Werner",USA,Leather Bags,4202,61,2024-08-19
"Bailey, Garza and Jordan","Jones, Odom and Rhodes",Germany,Organic Spices,910,55,2024-07-30
Jordan-Vaughan,"Clark, Hughes and Allen",Vietnam,Mobile Covers,3926,46,2023-11-26
Jones and Sons,Curtis-Ford,Germany,Processed Foods,2106,83,2023-09-27
Brooks Ltd,"Brown, Wagner and Beck",USA,Woven Garments,6204,48,2023-03-21
Ferguson-Jacobs,"Johnson, Ballard and Wilson",Bangladesh,Textile Machinery,8445,21,2024-05-02
"Erickson, Thomas and Clark","Harris, Richardson and Robinson",Vietnam,Rubber Soles,4016,2,2023-07-31
West PLC,Obrien Ltd,Germany,Processed Foods,2106,70,2024-03-18
Jones-Franklin,Avila-Price,Pakistan,Rubber Soles,4016,57,2023-02-13
Cruz-Russell,Anderson and Sons,Vietnam,Steel Pipes,7306,35,2023-03-17
Maxwell-James,Casey and Sons,China,LED Bulbs,8539,47,2024-02-23
"Garza, Ortiz and Chavez",Hernandez-Ochoa,Germany,LED Bulbs,8539,91,2024-10-04
Williams PLC,Nolan-Parker,India,Woven Garments,6204,97,2023-01-15
Parker-Morris,Blackwell Inc,Pakistan,Mobile Covers,3926,100,2023-12-17
Ramirez and Sons,Nunez Inc,USA,Woven Garments,6204,11,2024-03-26
"Williams, Woods and Smith",Edwards-Medina,China,Automotive Parts,8708,60,2024-04-25
Cunningham-Chapman,"Cook, Johnson and Ford",Germany,Processed Foods,2106,33,2023-11-17
Greer Group,"Robinson, Caldwell and Jackson",Bangladesh,Textile Machinery,8445,36,2023-02-01
Taylor-Warren,Johnson LLC,China,Cotton T-Shirts,6109,83,2023-10-12
Horton and Sons,"Cohen, Gonzales and Romero",Germany,Organic Spices,910,81,2024-12-19
Brown Inc,Ryan Inc,Pakistan,Organic Spices,910,83,2023-06-06
Tran PLC,Thomas-Barry,USA,Woven Garments,6204,91,2025-06-09
Wallace-Richards,Hart-Johnson,Bangladesh,Organic Spices,910,60,2025-02-15
Dunn-Sellers,Kelly-Peterson,Germany,Automotive Parts,8708,91,2024-06-24
Jordan-Hernandez,Chavez LLC,Pakistan,Woven Garments,6204,32,2025-01-04
Hooper Inc,Gonzalez-Knight,China,Automotive Parts,8708,61,2023-04-25
Solis Group,Dean PLC,India,Leather Bags,4202,35,2024-04-18
May LLC,Villegas and Sons,China,Leather Bags,4202,40,2023-10-09
Garcia-Smith,Keller Inc,USA,Cotton T-Shirts,6109,58,2024-05-09
"Adams, Le and Powell","Price, Carr and Allen",China,Rubber Soles,4016,22,2023-07-04
Scott-Swanson,Jennings-Martinez,Vietnam,Mobile Covers,3926,98,2024-11-10
"Nguyen, Spencer and Perez",Patel-Peterson,Germany,Leather Bags,4202,90,2023-10-09
Gallegos Group,"Mcdaniel, Castillo and Haley",China,Steel Pipes,7306,89,2024-10-29
Caldwell Inc,Thompson LLC,India,Woven Garments,6204,32,2023-10-14
"Hodges, Dean and Bell",Dodson Ltd,Bangladesh,Leather Bags,4202,46,2024-11-15
"Moore, Gaines and Jacobs","Rivera, Meadows and Garcia",India,LED Bulbs,8539,64,2023-05-28
Pena-Barnett,Wheeler-Nixon,USA,Steel Pipes,7306,11,2023-07-02
Wilson-Miranda,Fleming-Thompson,USA,Mobile Covers,3926,85,2023-02-28
Williams LLC,Dillon-Stone,China,Steel Pipes,7306,16,2023-02-19
Moreno-Montgomery,Braun-Howard,China,Cotton T-Shirts,6109,63,2024-05-15
"Cabrera, Washington and Martinez",May-Shah,Bangladesh,Textile Machinery,8445,54,2024-06-16
Hansen-Young,"Ramirez, Ryan and Jones",China,Leather Bags,4202,77,2023-05-31
Hunter-Alvarez,Gonzalez-Smith,India,Processed Foods,2106,92,2024-06-07
Hernandez Group,Lloyd-Hartman,India,LED Bulbs,8539,76,2025-05-13
Schneider PLC,Paul PLC,Germany,Mobile Covers,3926,73,2023-03-02
